,id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
253,3122702,2010,48993907,4494565,44499342,4694571,7191633,19929607,12683531
254,3122801,2010,16349147,359125,15990022,3530308,611685,3912091,7935939
255,3122900,2010,35993852,1370293,34623558,7352521,2740416,11286149,13244473
256,3123007,2010,110621044,15112581,95508463,1610883,45035782,28603574,20258225
257,3123106,2010,31432798,1817438,29615361,2585769,4748765,8708277,1357255
258,3123205,2010,121479946,7722296,11375765,14502364,13102406,54802393,31350487
259,3123304,2010,20679756,729519,19950238,452507,114197,5609609,8673587
260,3123403,2010,15348695,385332,14963363,3790213,1702547,3354572,611603
261,3123502,2010,26723815,1270155,2545366,1130091,2969985,4970125,6212641
262,3123528,2010,49010768,1677522,47333246,15735739,2350178,12524445,16722884
263,3123601,2010,312673488,35839256,276834232,46459333,38018728,136999812,5535636
264,3123700,2010,650962,3856803,61239397,9556911,4007218,24078175,23597093
265,3123809,2010,39323773,3233272,36090501,6372783,2857227,10447351,1641314
266,3123858,2010,25126246,1084022,24042225,1999341,1561817,8414082,12066984
267,3123908,2010,9811702,5721802,92395219,12711547,7586389,42290201,29807081
268,3124005,2010,150990051,8554086,142435966,40730233,10005106,53908752,37791874
269,3124104,2010,325445957,19235847,30621011,29615716,38900719,113991228,123702446
270,3124203,2010,180098996,15036237,165062759,26869004,1116243,81183966,45847359
271,3124302,2010,149107535,7444164,141663371,10519168,15548332,51117431,6447844
272,3124401,2010,32955868,1509259,3144661,10404228,2481164,7762354,10798864
273,3124500,2010,140890101,12075636,128814464,29683449,7600428,67676529,23854058
274,3124609,2010,17339214,842626,16496588,2327286,1059125,539718,7712997
275,3124708,2010,51086382,172124,49365142,22825275,305961,12575189,10905067
276,3124807,2010,452050297,6095713,445954584,384266616,12056585,31364163,1826722
277,3124906,2010,69131971,3093303,66038667,14441777,7613312,21084993,22898585
278,3125002,2010,21748351,1426184,20322167,1463953,3215268,6288054,9354893
279,3125101,2010,1884763511,463945452,1420818059,4052567,69435586,6419684,80441232
280,3125200,2010,27423304,715545,26707759,8099529,2678161,8429411,7500657
281,3125309,2010,27357155,1445927,25911227,7816803,3586977,6130297,837715
282,3125408,2010,24537723,964037,23573686,2567086,914673,7089953,13001974
283,3125507,2010,1726536,724421,16540939,1740523,712896,4918255,9169265
284,3125606,2010,33087965,1085427,32002538,4182918,1784141,979357,1624191
285,3125705,2010,186493592,6295638,180197953,101056235,8531398,37210886,33399435
286,3125804,2010,18080722,638007,17442714,2539541,870105,5086404,8946665
287,3125903,2010,63308038,3391939,599161,11344754,3774591,2155406,23242694
288,3125952,2010,55424519,2326547,53097972,1156611,2772804,15474536,23284522
289,3126000,2010,5173427,3366367,48367903,9004708,3968572,19795703,15598919
290,3126109,2010,879186003,81733013,79745299,50827914,177721491,427155268,141748317
291,3126208,2010,80369574,3320638,77048936,35666022,3704425,19172603,18505886
292,3126307,2010,271615715,17888734,253726981,8644921,178104541,50654181,16323337
293,3126406,2010,21282674,806961,20475714,3918117,2291684,5418908,8847004
294,3126505,2010,34737003,1157469,33579534,2524102,931514,9289194,20834725
295,3126604,2010,29193923,1302255,27891668,7793689,1618519,6010939,1246852
296,3126703,2010,150876281,7783149,143093132,29996429,10533978,49735727,52826997
297,3126752,2010,26175672,582478,25593194,6082384,1099669,4822722,13588418
298,3126802,2010,3122991,891116,30338794,7332142,1912891,6402989,14690772
299,3126901,2010,50275125,2869849,47405276,4867539,3683487,19558681,19295569
300,3126950,2010,1506398,294026,14769954,2545975,487172,2894342,8842465
301,3127008,2010,808504594,9406617,799097978,12230837,688820383,5808799,39958767
302,3127057,2010,2057447,894926,19679543,2392234,603822,4852172,11831317
303,3127073,2010,22844612,755231,22089381,3007215,629126,458136,1387168
304,3127107,2010,775520923,71343155,704177767,119279746,130044141,33585349,11900039
305,3127206,2010,26613455,1131013,25482442,5613171,32212,6051797,10596274
306,3127305,2010,40059324,1779649,38279675,5820974,1833209,14562078,16063414
307,3127339,2010,28450194,667831,27782363,8024733,892874,5818107,13046649
308,3127354,2010,15752402,345974,15406428,3215517,732611,3344521,8113779
309,3127370,2010,17735235,761889,16973346,2355807,787457,5157653,8672428
310,3127388,2010,24611243,1488699,23122543,2612502,1535762,9398508,9575771
311,3127404,2010,31309301,1926964,29382337,4498782,2230167,12154535,10498853
312,3127503,2010,23936271,1433386,22502886,2150717,835465,5840163,13676541
313,3127602,2010,93093322,6686327,86406996,4282615,26899092,29312258,2591303
314,3127701,2010,345406121,353985985,3100075226,26145906,589603425,1863621842,620704053
315,3127800,2010,204903332,2868773,202034559,26426949,12178715,19811162,34009298
316,3127909,2010,15003006,491926,1451108,2940376,835778,3891015,6843911
317,3128006,2010,314399691,300753,284324391,15736008,39667171,161235288,67685923
318,3128105,2010,105031658,522993,99801728,27917457,4822892,35312114,31749265
319,3128204,2010,44385813,1342013,430438,5624277,3034794,12302125,22082604
320,3128253,2010,24466487,856323,23610165,4653215,778551,6417169,1176123
321,3128303,2010,269425372,29796956,239628415,25354741,100389407,72935663,40948604
322,3128402,2010,67244112,4614427,62629685,6132599,13138596,23344738,20013752
323,3128501,2010,32662926,2469014,30193913,1869669,8338747,9414774,10570723
324,3128600,2010,186763553,3386477,183377076,118883655,1305482,33113886,18324716
325,3128709,2010,1002735561,135002518,867733043,32526844,185964259,544289684,104952256
326,3128808,2010,71269685,5353027,65916658,641243,28721317,14618857,16164054
327,3128907,2010,6572412,2629442,63094678,20861054,4347642,21278927,16607055
328,3129004,2010,59562771,3232608,56330163,12557284,7148002,1768881,18936067
329,3129103,2010,68044622,2794636,65249986,29949175,4397211,14850015,16053584
330,3129202,2010,52136832,2626457,49510376,12253061,3331976,19378135,14547204
331,3129301,2010,47737359,1739789,4599757,4426436,248254,16251646,22836948
332,3129400,2010,32863556,1112859,31750696,8733886,1443991,9743424,11829396
333,3129509,2010,486188367,42678672,443509695,117126105,120323609,149487391,5657259
334,3129608,2010,37098854,1746013,35352841,6086365,217614,10760944,16329392
335,3129657,2010,25026815,710348,24316467,2383376,1095762,5705046,15132284
336,3129707,2010,440326225,10215391,430110835,54480327,283968499,60359878,31302131
337,3129806,2010,1407024606,153220676,125380393,1051718,447905273,452525343,352321597
338,3129905,2010,29973221,15414,28431821,7778781,1910015,997592,8767105
339,3130002,2010,24237065,927251,23309815,7009236,966398,6710356,8623824
340,3130051,2010,40316361,1215696,39100665,831286,1611441,8380964,207954
341,3130101,2010,512939529,34754014,478185514,35347282,200228051,167075134,75535048
342,3130200,2010,87147478,9387158,7776032,19190285,7980983,29479411,21109642
343,3130309,2010,214267131,30228196,184038935,39622804,76855274,49016567,1854429
344,3130408,2010,300368206,42906795,257461411,4350867,184859454,50540142,17710947
345,3130507,2010,101089927,4343987,96745941,24658491,13761332,32589435,25736683
346,3130556,2010,32934739,801498,3213324,8705604,1802731,686325,14761655
347,3130606,2010,54941015,4103978,50837038,8119396,10360518,16457758,15899366
348,3130655,2010,31895289,923812,30971477,5214939,1622177,7298139,16836222
349,3130705,2010,313496903,4379083,30911782,53671737,205563895,29104478,20777711
350,3130804,2010,27822603,1572694,2624991,7851778,4605447,5681513,8111172
351,3130903,2010,140499099,6248112,134250987,20946103,7955181,57062226,48287477
352,3131000,2010,58407094,3937808,54469286,11808553,9079757,18724266,1485671
353,3131109,2010,53905744,2772815,51132928,8358066,15704366,11605791,15464705
354,3131158,2010,63699962,2670659,61029304,1043335,4577397,21184298,34224274
355,3131208,2010,11659574,7955258,108640483,7992394,11929841,49446791,39271457
356,3131307,2010,7520603844,1187233243,63333706,2216297,3159050919,2537703327,634400057
357,3131406,2010,44768897,1601223,43167674,13279774,2257819,12900157,14729923
358,3131505,2010,85473837,4510044,80963793,20826862,5088268,34281789,20766874
359,3131604,2010,97495428,8473157,89022271,20757776,16888386,34921268,16454841
360,3131703,2010,4137155461,210266723,3926888738,11946869,2483325351,1141107372,290509146
361,3131802,2010,53737553,2572544,51165009,2872694,57472,19176495,23368621
362,3131901,2010,1879338804,109934263,1769404541,6227183,1143764235,486461767,132951356
363,3132008,2010,29415116,4623661,24791456,7451813,1327124,4868769,1114375
364,3132107,2010,101680706,7192625,94488082,7449557,11641376,31513396,43883753
365,3132206,2010,114343896,9805773,104538123,9483633,9474203,57850762,27729525
366,3132305,2010,49688324,889853,48798471,8921027,2352921,11492574,26031949
367,3132404,2010,199381124,307616414,1686194826,9323248,755890609,734699232,186281738
368,3132503,2010,225982611,9636898,216345713,62551858,21556907,645468,67690148
369,3132602,2010,67828809,2572213,65256595,4128353,33419935,16112502,11595806
370,3132701,2010,160173985,8644967,151529018,1436547,11774024,60659717,64729808
371,3132800,2010,12031899,462914,11568985,1159904,47402,3609355,6325707
372,3132909,2010,96598359,559249,9100587,26186801,5178258,35956234,23684577
373,3133006,2010,266373505,43266048,223107457,5014842,104846496,78359257,34886862
374,3133105,2010,298492046,17932423,280559623,110623704,53914825,82198756,33822339
